soundcloud_name,song_name,genre,song_listens,timestamp,ig_handle,media_uploads,followers,following,engagement_rate,avg_likes,avg_comments
Abracadabra,Cadabra Freestyle,rap,4514,2020-08-12 19:40:05.336000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Abrahamblue.,abrahamblue - hoops,ultimate,4238,2020-08-16 18:33:48.085000+00:00,abrahamblue,35,"2,392",0,10.34%,233.20,14.25
Afourteen,SOMNIPHOBIA (FT. TEENAGE DISASTER) (PROD. IMOTAPE),ultimate,179000.0,2020-08-13 14:59:36.898000+00:00,afourteen,1,"24,081",85,21.47%,"4,886.00",284.00
Afrojack,Will You Still Love Me?,indie,2530000.0,2020-08-11 00:55:20.600000+00:00,afrojack,224,"3,764,988",371,1.29%,"47,940.10",661.70
Aggro Santos,Like U Like (feat. Kimberley Walsh),rap,0,2020-08-12 21:04:21.963000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Air,All I Need (feat. Beth Hirsch),indie,12200.0,2020-08-11 14:11:43.747000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Alexander 23,IDK You Yet,indie,2270000.0,2020-08-11 00:52:19.932000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Alfie Templeman,Happiness In Liquid Form,indie,27300.0,2020-08-11 02:53:47.303000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Alice Ivy,Better Man,indie,1750,2020-08-11 01:34:45.815000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Alicia Raye,Summertime Flex,rap,34,2020-08-12 19:34:59.699000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Alina Baraz,Alina Baraz - More Than Enough,ultimate,40900.0,2020-08-13 14:25:02.382000+00:00,alinabaraz,21,"443,542",258,16.64%,"70,954.30","2,837.30"
Alister Johnson,"Cold Hands, Warm Heart",indie,1682,2020-08-11 00:28:17.099000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
All Hands On Deck,AH002D: Teresa Winter - All Hands On Deck Mix Series,ultimate,336,2020-08-16 19:08:02.128000+00:00,allhands0ndeck,266,"1,351",807,3.73%,0.00,0.00
All Time Low,Monsters (feat. blackbear),ultimate,22500.0,2020-08-13 03:16:57.779000+00:00,alltimelow,"1,251","1,300,486",98,1.68%,"21,579.50",245.60
Alma Richards,I am tired,indie,117,2020-08-11 00:59:11.496000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Altchomelon,Echomelon - Stillness (Original) [Wip],ultimate,59,2020-08-16 19:04:57.342000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Altoception,Do I Wanna Know - Arctic Monkeys (Acoustic Cover),ultimate,30,2020-08-14 02:59:24.925000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Aluna,"Aluna, AlunaGeorge - Warrior",indie,52100.0,2020-08-11 01:14:30.130000+00:00,alunaaa,234,"150,450",331,1.37%,"2,020.65",38.00
Alvvays,"Archie, Marry Me",indie,43500.0,2020-08-11 02:59:08.513000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Alz x 38,Gifted,rap,28700.0,2020-08-12 19:41:55.497000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Aminé,Compensating (feat. Young Thug),rap,202000.0,2020-08-12 20:17:19.192000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
And So I Watch You From Afar,Odd Seal,ultimate,26,2020-08-13 03:21:22.074000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
AndrewCross,come with me,ultimate,4,2020-08-14 03:05:39.988000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Angel,Wonderful,rap,6140,2020-08-12 20:58:14.354000+00:00,thisisangel,103,"126,944","3,600",1.69%,"2,060.20",80.05
Anjunadeep,Durante & HANA - 13 Voices,indie,25600.0,2020-08-11 00:46:00.847000+00:00,anjunadeep,"2,222","184,265",461,0.83%,"1,508.05",25.30
Annalise Azadian,BOGU$,indie,140,2020-08-11 00:48:09.966000+00:00,annaliseazadian,119,"47,600","1,505",2.56%,"1,158.35",61.65
Another Sky,Fell In Love With The City,indie,884,2020-08-11 01:28:02.593000+00:00,anothersky,294,"5,111",364,6.68%,323.10,18.45
Anson Seabra,Somewhere in Ann Arbor,indie,162000.0,2020-08-11 00:58:34.580000+00:00,ansonseabra,340,"145,386",923,11.61%,"16,550.70",322.55
Anteros,Breakfast,indie,3703,2020-08-11 02:54:13.823000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Antonio Colaña 3,Yandel Ft. Rauw Alejandro - Dembow 2020 (Antonio Colaña & Dj Rajobos 2020 RMX),ultimate,1936,2020-08-16 19:13:48.372000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Apexape,Passion,ultimate,612,2020-08-13 16:41:59.481000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Arab Strap,The First Big Weekend,indie,2137,2020-08-11 14:10:45.305000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Arca,Arca - Calor,indie,5448,2020-08-11 00:45:18.970000+00:00,arca1000000,91,"164,066",8,5.99%,"9,678.72",156.24
Arcade Fire,Rebellion (Lies),indie,17400.0,2020-08-11 14:00:57.892000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
ArcticMonkeys,Mardy Bum,indie,83400.0,2020-08-11 14:03:02.382000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Ari Lennox,BUSSIT,ultimate,94000.0,2020-08-13 01:15:45.383000+00:00,arilennox,7,"1,332,004",684,4.20%,"55,376.40",558.29
Arkayo,Barbados vs Grenada 2020,ultimate,89,2020-08-16 19:11:27.453000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Arlo Parks,Eugene,indie,40500.0,2020-08-11 18:34:14.773000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Ashnikko,Cry (feat. Grimes),ultimate,232000.0,2020-08-13 14:55:15.183000+00:00,ashnikko,359,"538,522",884,16.41%,"87,420.90",933.60
Asking Alexandria,Antisocialist,ultimate,20400.0,2020-08-13 03:23:38.942000+00:00,askingalexandria,"1,307","1,283,573",33,0.99%,"12,472.30",201.70
Atlantic Records,YoungBoy Never Broke Again - One Shot (feat. Lil Baby),rap,14900000.0,2020-08-12 20:13:59.137000+00:00,atlanticrecords,"3,822","666,087",624,0.16%,990.90,58.70
Ayo Britain,Money,rap,31600.0,2020-08-12 19:33:38.069000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Ayo Shottah,"Ayo Shottah x Xëna - ""Pillz""(remix)",ultimate,432,2020-08-16 19:04:28.521000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Azure Ryder,Wolves,indie,1030,2020-08-11 18:44:22.279000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
B A B Y L O N,Jerome Price - That Girl (Original Mix),ultimate,733,2020-08-13 16:41:41.035000+00:00,babylonlabel,22,315,1,4.10%,30.30,2.80
B Down,DJ Hazard - Bricks Don't Roll,ultimate,424000.0,2020-08-13 16:38:15.845000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
B Young,Last Night (feat. Tion Wayne),rap,4447,2020-08-12 19:29:48.824000+00:00,byoung,26,"241,466",395,20.04%,"47,614.90",770.30
BAD SOUNDS,Sympathetic Vibrations,indie,348,2020-08-11 02:57:31.905000+00:00,realbadsounds,73,"12,794",483,5.24%,656.65,13.55
