soundcloud_name,song_name,genre,song_listens,timestamp,ig_handle,media_uploads,followers,following,engagement_rate,avg_likes,avg_comments,Engaged Fans
Air,All I Need (feat. Beth Hirsch),indie,12200,2020-08-11 14:11:43.747000+00:00,aircheology,,,,,,,
Alexander 23,IDK You Yet,indie,2270000,2020-08-11 00:52:19.932000+00:00,alexander23lol,,,,,,,
Alfie Templeman,Happiness In Liquid Form,indie,27300,2020-08-11 02:53:47.303000+00:00,alfietempleman,,,,,,,
Alice Ivy,Better Man,indie,1750,2020-08-11 01:34:45.815000+00:00,aliceivymusic,,,,,,,
Alicia Raye,Summertime Flex,rap,34,2020-08-12 19:34:59.699000+00:00,aliciataqueilla_,,,,,,,
Alina Baraz,Alina Baraz - More Than Enough,ultimate,40900,2020-08-13 14:25:02.382000+00:00,alinabaraz,22,"445,809",259,17.37%,"74,588.00","2,827.65",77437
Alister Johnson,"Cold Hands, Warm Heart",indie,1682,2020-08-11 00:28:17.099000+00:00,alisterjohnson,,,,,,,
All Hands On Deck,AH002D: Teresa Winter - All Hands On Deck Mix Series,ultimate,336,2020-08-16 19:08:02.128000+00:00,allhands0ndeck,271,"1,386",819,3.73%,49.85,1.9,52
All Time Low,Monsters (feat. blackbear),ultimate,22500,2020-08-13 03:16:57.779000+00:00,alltimelow,"1,255","1,300,193",98,1.92%,"24,686.60",286.1,24964
Alma Richards,I am tired,indie,117,2020-08-11 00:59:11.496000+00:00,,,,,,,,
Altchomelon,Echomelon - Stillness (Original) [Wip],ultimate,59,2020-08-16 19:04:57.342000+00:00,dangdut_kita,,,,,,,
Altoception,Do I Wanna Know - Arctic Monkeys (Acoustic Cover),ultimate,30,2020-08-14 02:59:24.925000+00:00,,,,,,,,
Aluna,"Aluna, AlunaGeorge - Warrior",indie,52100,2020-08-11 01:14:30.130000+00:00,alunaaa,250,"152,342",341,1.13%,"1,664.10",60.65,1721
Alvvays,"Archie, Marry Me",indie,43500,2020-08-11 02:59:08.513000+00:00,alvvaysband,,,,,,,
Alz x 38,Gifted,rap,28700,2020-08-12 19:41:55.497000+00:00,38xalz,,,,,,,
Aminé,Compensating (feat. Young Thug),rap,202000,2020-08-12 20:17:19.192000+00:00,amine,,,,,,,
And So I Watch You From Afar,Odd Seal,ultimate,26,2020-08-13 03:21:22.074000+00:00,asiwyfa_music,,,,,,,
AndrewCross,come with me,ultimate,4,2020-08-14 03:05:39.988000+00:00,andrewcrossofficial,,,,,,,
Angel,Wonderful,rap,6140,2020-08-12 20:58:14.354000+00:00,thisisangel,109,"126,813","3,636",1.70%,"2,082.25",70.55,2156
Anjunadeep,Durante & HANA - 13 Voices,indie,25600,2020-08-11 00:46:00.847000+00:00,anjunadeep,"2,239","186,901",462,1.27%,"2,331.05",36.65,2374
Annalise Azadian,BOGU$,indie,140,2020-08-11 00:48:09.966000+00:00,annaliseazadian,123,"47,971","1,526",2.53%,"1,154.95",59.6,1214
Another Sky,Fell In Love With The City,indie,884,2020-08-11 01:28:02.593000+00:00,anothersky,297,"5,221",372,6.95%,343.15,19.65,363
Anson Seabra,Somewhere in Ann Arbor,indie,162000,2020-08-11 00:58:34.580000+00:00,ansonseabra,347,"149,461",929,11.82%,"17,314.40",349.7,17666
Anteros,Breakfast,indie,3703,2020-08-11 02:54:13.823000+00:00,anterosofficial,,,,,,,
Antonio Colaña 3,Yandel Ft. Rauw Alejandro - Dembow 2020 (Antonio Colaña & Dj Rajobos 2020 RMX),ultimate,1936,2020-08-16 19:13:48.372000+00:00,yandel,,,,,,,
Apexape,Passion,ultimate,612,2020-08-13 16:41:59.481000+00:00,apexapemusic,,,,,,,
Arab Strap,The First Big Weekend,indie,2137,2020-08-11 14:10:45.305000+00:00,arabstrapband,,,,,,,
Arca,Arca - Calor,indie,5448,2020-08-11 00:45:18.970000+00:00,arca1000000,91,"164,066",8,5.99%,"9,678.72",156.24,9828
Arcade Fire,Rebellion (Lies),indie,17400,2020-08-11 14:00:57.892000+00:00,arcadefire,,,,,,,
ArcticMonkeys,Mardy Bum,indie,83400,2020-08-11 14:03:02.382000+00:00,arcticmonkeys,,,,,,,
Ari Lennox,BUSSIT,ultimate,94000,2020-08-13 01:15:45.383000+00:00,arilennox,0,"1,337,645",693,--,0,0,#VALUE!
Arkayo,Barbados vs Grenada 2020,ultimate,89,2020-08-16 19:11:27.453000+00:00,,,,,,,,
Arlo Parks,Eugene,indie,40500,2020-08-11 18:34:14.773000+00:00,parks,,,,,,,
Ashnikko,Cry (feat. Grimes),ultimate,232000,2020-08-13 14:55:15.183000+00:00,ashnikko,344,"550,678",883,15.74%,"85,760.00",943.2,86677
Asking Alexandria,Antisocialist,ultimate,20400,2020-08-13 03:23:38.942000+00:00,askingalexandria,"1,308","1,283,427",33,0.85%,"10,839.00",87.05,10909
Atlantic Records,YoungBoy Never Broke Again - One Shot (feat. Lil Baby),rap,14900000,2020-08-12 20:13:59.137000+00:00,atlanticrecords,"3,871","670,116",629,0.15%,969.35,49.1,1005
Ayo Britain,Money,rap,31600,2020-08-12 19:33:38.069000+00:00,ayobritain,,,,,,,
Ayo Shottah,"Ayo Shottah x Xëna - ""Pillz""(remix)",ultimate,432,2020-08-16 19:04:28.521000+00:00,ayo_shottah,,,,,,,
Azure Ryder,Wolves,indie,1030,2020-08-11 18:44:22.279000+00:00,azureryder,,,,,,,
B A B Y L O N,Jerome Price - That Girl (Original Mix),ultimate,733,2020-08-13 16:41:41.035000+00:00,babylonlabel,22,316,1,4.09%,30.35,2.8,13
B Down,DJ Hazard - Bricks Don't Roll,ultimate,424000,2020-08-13 16:38:15.845000+00:00,,,,,,,,
B Young,Last Night (feat. Tion Wayne),rap,4447,2020-08-12 19:29:48.824000+00:00,byoung,27,"243,704",397,20.39%,"48,883.60",801.55,49691
BAD SOUNDS,Sympathetic Vibrations,indie,348,2020-08-11 02:57:31.905000+00:00,realbadsounds,75,"12,751",484,5.64%,705.15,14.55,719
BADGIRL$,Stella,ultimate,91400,2020-08-13 14:55:37.439000+00:00,badgirls_tv,12,"3,306",0,--,0,0,#VALUE!
BANNERS,Someone to You,indie,3090000,2020-08-11 20:17:40.082000+00:00,bannersmusic,,,,,,,
BARNEY ARTIST,DARK N COLD,rap,1555,2020-08-12 19:41:41.369000+00:00,barneyartist,61,"21,400",449,5.30%,"1,078.50",56.6,1134
BASTILLE,WHAT YOU GONNA DO??? (feat. Graham Coxon),indie,1188,2020-08-11 01:27:34.778000+00:00,bastilledan,,,,,,,
BC CAMPLIGHT,Shortly After Takeoff,indie,49,2020-08-11 02:52:40.676000+00:00,bccamplight,,,,,,,
BENEE,Supalonely (feat. Gus Dapperton),indie,5370000,2020-08-11 02:57:22.612000+00:00,beneemusic,191,"519,521",511,11.51%,"59,264.90",542.05,59797
BLACKSTARKIDS,SOUNDS LIKE FUN,indie,261,2020-08-11 01:29:35.521000+00:00,blackstarkidz,,,,,,,
BLOXX,Off My Mind,indie,532,2020-08-11 01:27:50.179000+00:00,bloxxuk,513,"12,465",282,4.38%,535.5,10.75,546
BLR,BLR - Odyssee pt. I & II,ultimate,33600,2020-08-13 16:46:28.580000+00:00,blrofficial,111,"7,242",114,2.88%,193.4,14.95,209
BOKITO,okok,indie,789,2020-08-11 01:33:32.468000+00:00,bokitoband,,,,,,,
BONES UK,Pretty Waste,ultimate,4688,2020-08-13 14:59:10.107000+00:00,bonesbandbones,,,,,,,
BORDRLINE,disassociate interlude (demo),ultimate,214,2020-08-14 03:20:51.483000+00:00,,,,,,,,
BOUNCE MAYHEM [GBX Anthems],Hixxy & Sharkey - Toytown 2020 (Deekay Remake) #bouncemayhem #gbxanthems2020,ultimate,2126,2020-08-14 00:02:35.689000+00:00,hixxyuk,,,,,,,
BPSOCA Entertainment,The Caribbean Crawl Mix - Antigua & Barbuda Edition,ultimate,989,2020-08-16 19:12:46.492000+00:00,antiguaandbarbuda,,,,,,,
BRONSON,DAWN (Edit) [feat. Totally Enormous Extinct Dinosaurs],indie,5775,2020-08-11 00:27:43.524000+00:00,bronson,,,,,,,
BTS,10000 Hours (cover) by JK of BTS,ultimate,9720000,2020-08-13 23:48:39.202000+00:00,bts.bighitofficial,,,,,,,
BUNNI,Explore - Sundara Karma cover,indie,340,2020-08-11 17:55:40.148000+00:00,sundarakarma,,,,,,,
